UMAP_dim,cluster_id,size,weighted_centroid_phrase,rep_cosine_sim
5,577,469,good programming assignments,0.8877141800760286
5,482,348,math content obviously must lot well explained,0.8250256239211178
5,187,307,excelente curso muy bueno explicacion sencilla de las cosas,0.8415399279427282
5,70,282,course using matlab octave really helpful,0.8804691196945171
5,4,238,great course,0.9999675362849221
5,565,201,helps understand implementation application basics basic yet powerful algorithms,0.8351936506686123
5,167,181,andrew expert great teacher,0.9249364640523215
5,365,174,good overview data science,0.9089138848874654
5,0,172,excellent course,0.999775113276742
5,414,158,one best courses coursera,0.9385858591975277
