CourseId,ReviewId,SemanticUnit,Label
big-data-machine-learning,0,good,4
big-data-machine-learning,1,perfect overview,4
big-data-machine-learning,1,machine learning methods,4
big-data-machine-learning,1,numerical example could,4
big-data-machine-learning,1,better,4
big-data-machine-learning,1,neural network,4
big-data-machine-learning,1,also didn't cover,4
big-data-machine-learning,1,common,4
big-data-machine-learning,2,course,5
big-data-machine-learning,2,great fit,5
big-data-machine-learning,2,theory,5
big-data-machine-learning,2,pratice,5
big-data-machine-learning,3,really fun glad,5
big-data-machine-learning,3,finally finished,5
big-data-machine-learning,3,got,5
big-data-machine-learning,3,distracted running,5
big-data-machine-learning,3,learning things,5
big-data-machine-learning,3,got familiar,5
big-data-machine-learning,3,scala,5
big-data-machine-learning,3,python along,5
big-data-machine-learning,3,way,5
big-data-machine-learning,4,best course,5
big-data-machine-learning,4,specialization,5
big-data-machine-learning,4,dr,5
big-data-machine-learning,4,nguyen describes,5
big-data-machine-learning,4,teaches,5
big-data-machine-learning,4,contents,5
big-data-machine-learning,4,machine learning,5
big-data-machine-learning,4,clarity,5
big-data-machine-learning,4,digested knowledge,5
big-data-machine-learning,4,would suggest,5
big-data-machine-learning,4,add,5
big-data-machine-learning,4,depth contents,5
big-data-machine-learning,4,machine learning category especially clustering classification,5
big-data-machine-learning,4,association,5
big-data-machine-learning,4,least,5
big-data-machine-learning,4,optional contents,5
big-data-machine-learning,4,case,5
big-data-machine-learning,4,number,5
big-data-machine-learning,4,weeks allocated,5
big-data-machine-learning,4,course,5
big-data-machine-learning,4,restricted,5
big-data-machine-learning,5,good,5
big-data-machine-learning,6,interesting cource,5
big-data-machine-learning,6,thank,5
big-data-machine-learning,6,would suggest,5
big-data-machine-learning,6,advance python tasks,5
big-data-machine-learning,7,nice course,5
big-data-machine-learning,7,practical,5
big-data-machine-learning,8,course introduces,5
big-data-machine-learning,8,basic concepts,5
big-data-machine-learning,8,ml beautifully,5
big-data-machine-learning,8,instructor explains everything,5
big-data-machine-learning,8,lucid way,5
big-data-machine-learning,8,also teaches modeling,5
big-data-machine-learning,8,ml,5
big-data-machine-learning,8,knime,5
big-data-machine-learning,8,would personally want,5
big-data-machine-learning,8,know,5
big-data-machine-learning,8,spark,5
big-data-machine-learning,8,course gives,5
big-data-machine-learning,8,good introduction,5
big-data-machine-learning,8,overall,5
big-data-machine-learning,8,good starting point,5
big-data-machine-learning,8,beginners,5
big-data-machine-learning,9,basic things,3
big-data-machine-learning,9,examples,3
big-data-machine-learning,9,regression,3
big-data-machine-learning,10,well explained course,5
big-data-machine-learning,10,machine learning,5
big-data-machine-learning,10,grateful,5
big-data-machine-learning,10,highly insightful course like,5
big-data-machine-learning,10,recommend,5
big-data-machine-learning,10,course,5
big-data-machine-learning,10,data enthusiasts,5
big-data-machine-learning,11,not enough work,4
big-data-machine-learning,11,machine learning models,4
big-data-machine-learning,11,course centered,4
big-data-machine-learning,11,main part,4
big-data-machine-learning,11,classification,4
big-data-machine-learning,12,think,4
big-data-machine-learning,12,good introductory course,4
big-data-machine-learning,12,lacking,4
big-data-machine-learning,12,exercises,4
big-data-machine-learning,13,-,4
big-data-machine-learning,14,valuable course,4
big-data-machine-learning,14,learning,4
big-data-machine-learning,14,basics,4
big-data-machine-learning,14,machine learning,4
big-data-machine-learning,14,hoping,4
big-data-machine-learning,14,get,4
big-data-machine-learning,14,hands,4
big-data-machine-learning,14,practice,4
big-data-machine-learning,14,course,4
big-data-machine-learning,14,overall,4
big-data-machine-learning,14,learned,4
big-data-machine-learning,14,lot,4
big-data-machine-learning,14,existing content,4
big-data-machine-learning,15,well structured fits well,4
big-data-machine-learning,15,beginners,4
big-data-machine-learning,16,good overview,4
big-data-machine-learning,16,tools specially spark,4
big-data-machine-learning,16,last demo handson,4
big-data-machine-learning,16,spark clustering,4
big-data-machine-learning,16,much content,4
big-data-machine-learning,16,covered,4
big-data-machine-learning,16,11 minutes,4
big-data-machine-learning,16,presenter,4
big-data-machine-learning,16,not give,4
big-data-machine-learning,16,details,4
big-data-machine-learning,16,many functions,4
big-data-machine-learning,16,using,4
big-data-machine-learning,16,felt like copy paste coding,4
big-data-machine-learning,16,rest,4
big-data-machine-learning,16,good specially,4
big-data-machine-learning,16,lecturer compared,4
big-data-machine-learning,16,lecturers,4
big-data-machine-learning,16,courses,4
big-data-machine-learning,16,specialisation,4
big-data-machine-learning,17,really great,5
big-data-machine-learning,18,course,5
big-data-machine-learning,18,best introduction,5
big-data-machine-learning,18,machine learning,5
big-data-machine-learning,18,helped,5
big-data-machine-learning,18,lot,5
big-data-machine-learning,18,understand different concepts,5
big-data-machine-learning,18,people,5
big-data-machine-learning,18,already know,5
big-data-machine-learning,18,subject,5
big-data-machine-learning,18,didn't,5
big-data-machine-learning,18,idea,5
big-data-machine-learning,19,easy,4
big-data-machine-learning,19,follow,4
big-data-machine-learning,19,good resource,4
big-data-machine-learning,19,understand,4
big-data-machine-learning,19,basic concept,4
big-data-machine-learning,19,big data,4
big-data-machine-learning,20,really enjoyed,5
big-data-machine-learning,20,course since,5
big-data-machine-learning,20,match,5
big-data-machine-learning,20,patience,5
big-data-machine-learning,20,work,5
big-data-machine-learning,20,addition,5
big-data-machine-learning,20,like,5
big-data-machine-learning,20,highlight,5
big-data-machine-learning,20,instructor clear organized idea,5
big-data-machine-learning,20,steps,5
big-data-machine-learning,20,70,5
big-data-machine-learning,20,success,5
big-data-machine-learning,20,course,5
big-data-machine-learning,20,believe,5
big-data-machine-learning,21,ok,3
big-data-machine-learning,21,extremely high level overiew,3
big-data-machine-learning,22,excelent introductory course,5
big-data-machine-learning,22,machine learning,5
big-data-machine-learning,22,big data,5
big-data-machine-learning,23,great introduction,5
big-data-machine-learning,23,great tools,5
big-data-machine-learning,23,definitely inspired,5
big-data-machine-learning,23,lean,5
big-data-machine-learning,23,'machine learning',5
big-data-machine-learning,24,excellent,4
big-data-machine-learning,24,best place,4
big-data-machine-learning,24,begin,4
big-data-machine-learning,24,big data,4
big-data-machine-learning,24,ml,4
big-data-machine-learning,25,course helped,5
big-data-machine-learning,25,understand,5
big-data-machine-learning,25,concepts,5
big-data-machine-learning,25,machine learning,5
big-data-machine-learning,25,rudimentary level,5
big-data-machine-learning,25,also laid,5
big-data-machine-learning,25,foundation,5
big-data-machine-learning,25,understanding,5
big-data-machine-learning,25,dealing,5
big-data-machine-learning,25,practical implementation,5
big-data-machine-learning,25,machine learning algorithms,5
big-data-machine-learning,25,implementation,5
big-data-machine-learning,25,big data,5
big-data-machine-learning,25,eventually elevated,5
big-data-machine-learning,25,understanding,5
big-data-machine-learning,25,applications dealing machine learning,5
big-data-machine-learning,25,big data,5
big-data-machine-learning,25,thanks,5
big-data-machine-learning,25,mentors,5
big-data-machine-learning,25,instructors,5
big-data-machine-learning,25,everything,5
big-data-machine-learning,25,teaching materials quizzes assignments,5
big-data-machine-learning,25,hands,5
big-data-machine-learning,25,everything,5
big-data-machine-learning,25,awesome,5
big-data-machine-learning,26,thanks,5
big-data-machine-learning,26,much,5
big-data-machine-learning,27,course helped understand,5
big-data-machine-learning,27,machine learning concepts,5
big-data-machine-learning,27,hands,5
big-data-machine-learning,27,comprehensive,5
big-data-machine-learning,28,course content,1
big-data-machine-learning,28,poorly explained,1
big-data-machine-learning,28,quiz questions don't really test,1
big-data-machine-learning,28,taught,1
big-data-machine-learning,28,lectures,1
big-data-machine-learning,28,assignments,1
big-data-machine-learning,28,copying,1
big-data-machine-learning,28,pasting things,1
big-data-machine-learning,28,feel like,1
big-data-machine-learning,28,still,1
big-data-machine-learning,28,poor understanding,1
big-data-machine-learning,28,supposedly covered,1
