CourseId,Review,Label
big-data-machine-learning,good,4
big-data-machine-learning,Perfect overview on machine learning methods. The numerical example could be better. The Neural Network is also didn't cover that is very common now.,4
big-data-machine-learning,This course is a great fit between theory and pratice,5
big-data-machine-learning,"Really fun, glad I finally finished. I got so distracted running off and learning things. I got familiar with scala and python along the way too.",5
big-data-machine-learning,"This is the best course of this specialization. Dr. Nguyen describes and teaches the contents of machine learning with clarity and digested knowledge.I would suggest to add more in-depth contents to each of the machine learning category, especially clustering, classification and association, at least as optional contents in case the number of weeks allocated for course are restricted.",5
big-data-machine-learning,Very good,5
big-data-machine-learning,Very interesting cource! Thank you!I would suggest to advance python tasks,5
big-data-machine-learning,"Nice course, very practical.",5
big-data-machine-learning,"This course introduces the basic concepts of ML beautifully, the instructor explains everything in a very lucid way. It also teaches modeling with ML in KNIME. I would personally want to know more about spark, but this course gives a good introduction. Overall very good starting point for beginners.",5
big-data-machine-learning,Very basic things... Any examples for regression.,3
big-data-machine-learning,Very well explained course on Machine Learning. I am grateful for the highly insightful course like this. I will recommend this course for all data enthusiasts.,5
big-data-machine-learning,not enough work in the other machine learning models (the course centered the main part of it to classification ),4
big-data-machine-learning,"I think its a good introductory course, but lacking in exercises.",4
big-data-machine-learning,-,4
big-data-machine-learning,"This is a valuable course in learning the basics of machine learning. but I was hoping to to get more hands on practice in this course. but overall, i learned a lot with the existing content.",4
big-data-machine-learning,"well structured, fits well to beginners!",4
big-data-machine-learning,"Good overview of tools specially Spark. The last demo handson with Spark clustering had too much content to be covered in 11 minutes. The presenter does not give any details on many functions he was using. Felt like copy paste coding. The rest was good, specially the lecturer compared to the lecturers of the other courses of the specialisation.",4
big-data-machine-learning,It is really great.,5
big-data-machine-learning,The course was the best introduction I had for machine learning. Helped me a lot to understand different concepts from people who already know about the subject and I didn't have any idea.,5
big-data-machine-learning,Easy to follow. Good resource to understand the basic concept of big data.,4
big-data-machine-learning,"I really enjoyed the course since it's match with my patience and work, in addition I'd like to highlight the instructor, clear,organized idea and steps, this was 70% of the success of the course I believe.",5
big-data-machine-learning,It's ok for an extremely high-level overiew,3
big-data-machine-learning,Excelent Introductory course to MACHINE LEARNING with Big Data.,5
big-data-machine-learning,Great introduction with great tools. Has definitely inspired me to lean more about 'Machine Learning'!,5
big-data-machine-learning,excellent! best place to begin with Big Data and ML!,4
big-data-machine-learning,"The course helped me understand the concepts of the machine learning from the very rudimentary level. It also laid the foundation for understanding and dealing with the practical implementation of the machine learning algorithms and their implementation in big data which eventually elevated my understanding of applications dealing machine learning with Big Data.Thanks to all the mentors and instructors for everything- the teaching materials, quizzes, assignments and hands-on; everything was awesome.",5
big-data-machine-learning,thanks so much,5
big-data-machine-learning,the course helped understand the machine learning concepts and the hands-on were very comprehensive.,5
big-data-machine-learning,"The course content is very poorly explained. The quiz questions don't really test what was taught in the lectures, and the assignments are just copying and pasting things. I feel like I still have a very poor understanding of what was supposedly covered in the course. I cannot generalise or apply the 'learned' information or skills to other topics or researches because I didn't actually understand the core concepts or how to use the programs.",1
big-data-machine-learning,"Both the professors are great , the videos helped alot in understanding lot of core concepts in machine learning.",5
big-data-machine-learning,"This was a good introductory class to machine learning, but I wish it had more depth.",4
big-data-machine-learning,"Machine learning is too simplified and spark part is not even explained, also very little relation of all course with Big Data.",2
big-data-machine-learning,excellent!!,5
big-data-machine-learning,"Have to make sure that code provided are fine and without problem... also, better instructions on how to go about the tool needed to use. Remember, we are learning and the amount of tools in Big Data ecosystem is vast...",4
big-data-machine-learning,Good overview of working with SPARK and KNIME - acceptable little theoretical background for all the presented concepts for the sake of application use.,4
big-data-machine-learning,"This is another course in UCSD's ""Big Data"" introductory course. The material is not pertinent to a specialty on big data technologies. Further the course does not increase one's knowledge of Machine Learning in any way that justifies spending the time in the course.",1
big-data-machine-learning,Almost a useless course - ML overview using KNIME which gives no insight whatsoever.,2
big-data-machine-learning,insightful,4
build-data-science-team,Excellent!,5
build-data-science-team,"This class was a great introduction to the topic of building a data science team.The material was practically oriented, cited a lot of relevant external sources (e.g., news articles about data science), and was easy to understand.The production quality was excellent - easy to listen to, ready to follow the slides, and the questions immediately followed each short segment.I would have preferred it if the Professor had gone through different examples of data scientist and data engineering resumes to show me what performers in each quintile look like and what signals distinguish members of each quintile from the higher or lower quintile. Apart from the signals, and interview questions used to elicit these signals, how would the ability levels be different.",5
build-data-science-team,This course was very helpful! Thank you.,5
build-data-science-team,Excellent,5
build-data-science-team,"It was a bit.... general. That could be a bias of mine, as I have done quite a bit of management-type work, so maybe it didn't feel that new or informative.",3
build-data-science-team,"Some of the multiple choice questions are _really_ more opinion than fact - making it almost impossible to get them ""right""",4
build-data-science-team,Really enjoyed myself,5
build-data-science-team,Good introduction to managing a team from the perspective of Data Science.,5
build-data-science-team,"Good overview for those without management experience. For experienced folks -- probably a good number since this is an Executive Data Science course -- it was pretty basic. Also some of the elements come down to management style. For some, other approaches have worked well and might not be ready to switch philosophies based on the course.Otherwise, pretty good.",3
build-data-science-team,"Very good overview , very interesting and with a very good management approach.",5
build-data-science-team,"As usual the team does a great job of distilling complex ideas without sacrificing the quality of information. Data Science is a complicated field. Don't be fooled by the topics, the walk before you run approach is super productive for your learning curve if you're not native to this field.",5
build-data-science-team,"A nice course, and very helpful!",5
build-data-science-team,"very good course for beginners, in my case I built the same team and processes by heart and it matched the suggestions in this course",5
